# Oyatie nested dot-worktree unique-content archive
# created_utc	2026-08-04T02:11:16.409538Z
# generated files, secret/credential files, build outputs, and merged PR-body scratch are intentionally excluded
source_worktree	source_branch	source_head	classification	source_path	archive_path	sha256	bytes
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ac/calendar-ac02-personal-detail-projection.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ac/calendar-ac02-personal-detail-projection.fixture.json	453dd956bfc1b8c70a88545a5f8afa51dd206c1eb64594f46b36055da7797e94	1501
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ac/calendar-ac03-action-card-workflow-handoff.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ac/calendar-ac03-action-card-workflow-handoff.fixture.json	2d98795fcdd22d226ab5c7b27c0a17b49e5b943f99a95f9ef5bff557a2d1d7f3	1486
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ac/calendar-ac04-legal-hold-preservation.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ac/calendar-ac04-legal-hold-preservation.fixture.json	12d988b040dd5d9b6d3f413689c8315761fe3deef252d42b120e99435a3f4e22	1517
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ac/calendar-ac05-jurisdiction-retention-ux.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ac/calendar-ac05-jurisdiction-retention-ux.fixture.json	f77dc7eafa8f94cc8813579f87e86d9a2cda56b12cef8c54c8d1370aa4358003	1453
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/asyncapi/calendar-asyncapi-v1-replay.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/asyncapi/calendar-asyncapi-v1-replay.fixture.json	f67bd243e51c081416f1a9cfe7c0f6b6f7a004f0a33307f298e5d3bcde7689c6	2089
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/authority/calendar-inventory-provenance-rejection.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/authority/calendar-inventory-provenance-rejection.fixture.json	1f6befca31def103167f0f5793c6ad7633f0d407c3873cfa3cb04dfc07bf95af	1475
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/authority/calendar-prd-authority-source-lock.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/authority/calendar-prd-authority-source-lock.fixture.json	41fb323939a3924d1465616448c14b0d0f36d6528a45b3c51886bcdf4ab13ba2	1777
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/boundary/calendar-personal-work-pillar-boundary.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/boundary/calendar-personal-work-pillar-boundary.fixture.json	2f3c8c28e3b9e34765a651e47b7fe25f9225ba48b19787d348b07ab79ca81b26	1506
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/contracts/calendar-produced-contracts.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/contracts/calendar-produced-contracts.fixture.json	307725d767a7255365647a7269f7f5541fec69a1ac4e4307c2f0001c3ebad839	1288
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/openapi/calendar-openapi-v1-replay.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/openapi/calendar-openapi-v1-replay.fixture.json	f67bd243e51c081416f1a9cfe7c0f6b6f7a004f0a33307f298e5d3bcde7689c6	2089
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/policy/calendar-build-parentage.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/policy/calendar-build-parentage.fixture.json	a3affe8641c6d7dccb42b3bf30350f8b92adf2ad5b623ca6d79e7291d010028f	1786
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/proto/calendar-proto-v1-replay.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/proto/calendar-proto-v1-replay.fixture.json	f67bd243e51c081416f1a9cfe7c0f6b6f7a004f0a33307f298e5d3bcde7689c6	2089
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ux/calendar-browser-accessibility-evidence.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ux/calendar-browser-accessibility-evidence.fixture.json	a6899bd825c0b992c0b2303e13157add5f301339d8e2f9c6633b1ac9d8fb0429	1743
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/bad-expired-vex.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/bad-expired-vex.json	f36bb992be499b26ba614ec1a4712b28a4d9a38db5cec21729c50bb193551c68	7349
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/bad-kev-emergency.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/bad-kev-emergency.json	2cb2376569f96ea873572611de30cfe25e1f71f3e1741c1ab5f48ec94793d255	7541
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/bad-missing-sbom.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/bad-missing-sbom.json	5b520c63815cb372d99b7b9561ac5493ab900a8b82455fac3467d9cec06c57e3	7276
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/bad-offline-replay.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/bad-offline-replay.json	b03524a1b3ccf119285c45137e3760a63dc25a089dde8f852314c9ce031ddb7f	7572
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/bad-stale-feed.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/bad-stale-feed.json	b1074b465da759cf1bbf738cf6a26730108bfb9e1d19b1a17c5845eb40ccb628	7437
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/fixtures/regulatory-airgap-security-evidence/good-offline-evidence-packet.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/fixtures/regulatory-airgap-security-evidence/good-offline-evidence-packet.json	05a924f18a16fa42fa94b7db8b85183fc096e1b1ceb23fa4d1ef8ff9bcc79ffe	7484
.worktrees/t_f15d213a-airgap-contract	work-hermes-t_f15d213a-airgap-contract	66bc192d4c79a624fb6f1f3629c1b3be6400d0b3	untracked_unique	specs/regulatory-airgap-security-evidence-contract.json	preserved/dot-worktrees/t_f15d213a-airgap-contract/specs/regulatory-airgap-security-evidence-contract.json	a6b90719638d463818bcbe7361b8d9243b14be0d99c16f48e08f009659e566e8	20070
