operation_id	contract_path	runtime_crate	source_path	symbol	status_type	evidence_surface	test_path	response_schemas
createCloudComputeVm	contracts/openapi/cloud/cloud-compute-vm-v1.yaml	cloud-compute-vm-api	crates/cloud-compute-vm-api/src/lib.rs	create_cloud_compute_vm_from_api	CloudComputeVmCreateApiStatus	cloud.compute.vm.create	crates/cloud-compute-vm-api/tests/cloud_compute_vm_api.rs	201=CloudComputeVmCreateSuccessResponse;400=CloudComputeVmApiErrorResponse;401=CloudComputeVmApiErrorResponse;403=CloudComputeVmApiErrorResponse;404=CloudComputeVmApiErrorResponse;409=CloudComputeVmApiErrorResponse;422=CloudComputeVmApiErrorResponse
createCloudComputeK8sCluster	contracts/openapi/cloud/cloud-compute-k8s-v1.yaml	cloud-compute-k8s-api	crates/cloud-compute-k8s-api/src/lib.rs	create_cloud_compute_k8s_cluster_from_api	CloudComputeK8sClusterCreateApiStatus	cloud.compute.k8s.cluster.create	crates/cloud-compute-k8s-api/tests/cloud_compute_k8s_api.rs	201=CloudComputeK8sClusterCreateSuccessResponse;400=CloudComputeK8sApiErrorResponse;401=CloudComputeK8sApiErrorResponse;403=CloudComputeK8sApiErrorResponse;404=CloudComputeK8sApiErrorResponse;409=CloudComputeK8sApiErrorResponse;422=CloudComputeK8sApiErrorResponse
invokeCloudComputeFunction	contracts/openapi/cloud/cloud-compute-functions-v1.yaml	cloud-compute-functions-api	crates/cloud-compute-functions-api/src/lib.rs	invoke_cloud_compute_function_from_api	CloudComputeFunctionsInvokeApiStatus	cloud.compute.functions.invoke	crates/cloud-compute-functions-api/tests/cloud_compute_functions_api.rs	202=CloudComputeFunctionsInvokeSuccessResponse;400=CloudComputeFunctionsApiErrorResponse;401=CloudComputeFunctionsApiErrorResponse;403=CloudComputeFunctionsApiErrorResponse;404=CloudComputeFunctionsApiErrorResponse;409=CloudComputeFunctionsApiErrorResponse;422=CloudComputeFunctionsApiErrorResponse
createCloudNetworkVpc	contracts/openapi/cloud/cloud-network-vpc-v1.yaml	cloud-network-vpc-api	crates/cloud-network-vpc-api/src/lib.rs	create_cloud_network_vpc_from_api	CloudNetworkVpcCreateApiStatus	cloud.network.vpc.create	crates/cloud-network-vpc-api/tests/cloud_network_vpc_api.rs	201=CloudNetworkVpcCreateSuccessResponse;400=CloudNetworkVpcApiErrorResponse;401=CloudNetworkVpcApiErrorResponse;403=CloudNetworkVpcApiErrorResponse;404=CloudNetworkVpcApiErrorResponse;409=CloudNetworkVpcApiErrorResponse;422=CloudNetworkVpcApiErrorResponse
createCloudNetworkDnsZone	contracts/openapi/cloud/cloud-network-dns-v1.yaml	cloud-network-dns-api	crates/cloud-network-dns-api/src/lib.rs	create_cloud_network_dns_zone_from_api	CloudNetworkDnsZoneCreateApiStatus	cloud.network.dns.zone.create	crates/cloud-network-dns-api/tests/cloud_network_dns_api.rs	201=CloudNetworkDnsZoneCreateSuccessResponse;400=CloudNetworkDnsApiErrorResponse;401=CloudNetworkDnsApiErrorResponse;403=CloudNetworkDnsApiErrorResponse;404=CloudNetworkDnsApiErrorResponse;409=CloudNetworkDnsApiErrorResponse;422=CloudNetworkDnsApiErrorResponse
createCloudNetworkLoadBalancer	contracts/openapi/cloud/cloud-network-lb-v1.yaml	cloud-network-lb-api	crates/cloud-network-lb-api/src/lib.rs	create_cloud_network_load_balancer_from_api	CloudNetworkLbCreateApiStatus	cloud.network.lb.create	crates/cloud-network-lb-api/tests/cloud_network_lb_api.rs	201=CloudNetworkLbCreateSuccessResponse;400=CloudNetworkLbApiErrorResponse;401=CloudNetworkLbApiErrorResponse;403=CloudNetworkLbApiErrorResponse;404=CloudNetworkLbApiErrorResponse;409=CloudNetworkLbApiErrorResponse;422=CloudNetworkLbApiErrorResponse
generateCloudBillingInvoice	contracts/openapi/cloud/cloud-billing-invoice-v1.yaml	cloud-billing-tax-app	crates/cloud-billing-tax-app/src/lib.rs	generate_cloud_billing_invoice_from_api	CloudBillingInvoiceGenerateApiStatus	cloud.billing.invoice.generate	crates/cloud-billing-tax-app/tests/cloud_billing_invoice_api.rs	201=CloudBillingInvoiceGenerateSuccessResponse;400=CloudBillingTaxApiErrorResponse;401=CloudBillingTaxApiErrorResponse;403=CloudBillingTaxApiErrorResponse;409=CloudBillingTaxApiErrorResponse;422=CloudBillingTaxApiErrorResponse
readCloudObservabilityAudit	contracts/openapi/cloud/cloud-observability-audit-v1.yaml	cloud-observability-api	crates/cloud-observability-api/src/lib.rs	read_cloud_observability_audit_from_api	CloudObservabilityAuditReadApiStatus	cloud.observability.audit.read	crates/cloud-observability-api/tests/cloud_observability_audit_api.rs	200=CloudObservabilityAuditReadSuccessResponse;400=CloudObservabilityApiErrorResponse;401=CloudObservabilityApiErrorResponse;403=CloudObservabilityApiErrorResponse;422=CloudObservabilityApiErrorResponse
generateCloudFinopsReport	contracts/openapi/cloud/cloud-finops-report-v1.yaml	cloud-finops-api	crates/cloud-finops-api/src/lib.rs	generate_cloud_finops_report_from_api	CloudFinopsReportApiStatus	cloud.finops.report	crates/cloud-finops-api/tests/cloud_finops_report_api.rs	201=CloudFinopsReportGenerateSuccessResponse;400=CloudFinopsApiErrorResponse;401=CloudFinopsApiErrorResponse;403=CloudFinopsApiErrorResponse;409=CloudFinopsApiErrorResponse;422=CloudFinopsApiErrorResponse
bindCloudCell	contracts/openapi/cloud/cloud-cell-bind-v1.yaml	cloud-cell-app	crates/cloud-cell-app/src/lib.rs	bind_cloud_cell_from_api	CloudCellBindApiStatus	cloud.cell.bind	crates/cloud-cell-app/tests/cloud_cell_bind_api.rs	201=CloudCellBindSuccessResponse;400=CloudCellApiErrorResponse;401=CloudCellApiErrorResponse;403=CloudCellApiErrorResponse;404=CloudCellApiErrorResponse;409=CloudCellApiErrorResponse;422=CloudCellApiErrorResponse
issuePlatformIdentityToken	contracts/openapi/platform/platform-identity-token-v1.yaml	identity-usecase	crates/identity-usecase/src/lib.rs	issue_identity_token_from_app	IdentityTokenIssueApiStatus	identity.token.issue	crates/identity-usecase/tests/identity_token_issue.rs	200=IdentityTokenIssueSuccessResponse;400=IdentityTokenIssueApiErrorResponse;401=IdentityTokenIssueApiErrorResponse;403=IdentityTokenIssueApiErrorResponse;422=IdentityTokenIssueApiErrorResponse
upsertPlatformIdentityUser	contracts/openapi/platform/platform-identity-user-v1.yaml	identity-api	crates/identity-api/src/lib.rs	upsert_identity_user_from_api	IdentityUserUpsertApiStatus	identity.user.upsert	crates/identity-api/tests/identity_user_upsert_api.rs	200=IdentityUserUpsertSuccessResponse;400=IdentityUserUpsertApiErrorResponse;401=IdentityUserUpsertApiErrorResponse;403=IdentityUserUpsertApiErrorResponse;409=IdentityUserUpsertApiErrorResponse;422=IdentityUserUpsertApiErrorResponse
publishCedarPolicy	contracts/openapi/platform/platform-policy-cedar-v1.yaml	policy-cedar-api	crates/policy-cedar-api/src/lib.rs	publish_cedar_policy_from_api	CedarPolicyPublishApiStatus	cedar.policy.publish	crates/policy-cedar-api/tests/cedar_policy_publish_api.rs	201=CedarPolicyPublishSuccessResponse;400=CedarPolicyPublishApiErrorResponse;401=CedarPolicyPublishApiErrorResponse;403=CedarPolicyPublishApiErrorResponse;409=CedarPolicyPublishApiErrorResponse;422=CedarPolicyPublishApiErrorResponse
upsertObjectGraphEntity	contracts/openapi/platform/platform-object-graph-v1.yaml	ontology-api	crates/ontology-api/src/lib.rs	upsert_object_graph_entity_from_api	ObjectGraphEntityUpsertApiStatus	object-graph.entity.upsert	crates/ontology-api/tests/object_graph_entity_upsert_api.rs	200=ObjectGraphEntityUpsertSuccessResponse;400=ObjectGraphEntityUpsertApiErrorResponse;401=ObjectGraphEntityUpsertApiErrorResponse;403=ObjectGraphEntityUpsertApiErrorResponse;422=ObjectGraphEntityUpsertApiErrorResponse
createPlatformTenant	contracts/openapi/platform/platform-tenant-v1.yaml	tenancy-api	crates/tenancy-api/src/lib.rs	create_tenant_from_api	TenantCreateApiStatus	tenant.create	crates/tenancy-api/tests/tenant_create_api.rs	201=TenantCreateSuccessResponse;400=TenantCreateApiErrorResponse;401=TenantCreateApiErrorResponse;403=TenantCreateApiErrorResponse;409=TenantCreateApiErrorResponse;422=TenantCreateApiErrorResponse
bindRegulatoryPack	contracts/openapi/platform/platform-regulatory-pack-v1.yaml	regional-pack-api	crates/regional-pack-api/src/lib.rs	bind_regulatory_pack_from_api	RegulatoryPackBindApiStatus	regulatory-pack.bind	crates/regional-pack-api/tests/regulatory_pack_bind_api.rs	201=RegulatoryPackBindSuccessResponse;400=RegulatoryPackBindApiErrorResponse;401=RegulatoryPackBindApiErrorResponse;403=RegulatoryPackBindApiErrorResponse;409=RegulatoryPackBindApiErrorResponse;422=RegulatoryPackBindApiErrorResponse
runFoundryEval	contracts/openapi/foundry/eval-v1.yaml	governance-eval-usecase	crates/governance-eval-usecase/src/lib.rs	run_foundry_eval_from_api	FoundryEvalRunApiStatus	foundry.eval.run	crates/governance-eval-usecase/tests/foundry_eval_run_api.rs	201=FoundryEvalRunSuccessResponse;400=FoundryEvalRunApiErrorResponse;401=FoundryEvalRunApiErrorResponse;403=FoundryEvalRunApiErrorResponse;422=FoundryEvalRunApiErrorResponse
putWorkspaceDriveObject	contracts/openapi/workspace/workspace-drive-v1.yaml	workspace-drive-api	crates/workspace-drive-api/src/lib.rs	put_workspace_drive_object_from_api	WorkspaceDriveObjectPutApiStatus	workspace.drive.put	crates/workspace-drive-api/tests/workspace_drive_api.rs	201=WorkspaceDriveObjectPutSuccessResponse;400=WorkspaceDriveApiErrorResponse;403=WorkspaceDriveApiErrorResponse;409=WorkspaceDriveApiErrorResponse;422=WorkspaceDriveApiErrorResponse
getWorkspaceDriveObject	contracts/openapi/workspace/workspace-drive-v1.yaml	workspace-drive-api	crates/workspace-drive-api/src/lib.rs	get_workspace_drive_object_from_api	WorkspaceDriveObjectGetApiStatus	workspace.drive.get	crates/workspace-drive-api/tests/workspace_drive_api.rs	200=WorkspaceDriveObjectGetSuccessResponse;400=WorkspaceDriveApiErrorResponse;403=WorkspaceDriveApiErrorResponse;404=WorkspaceDriveApiErrorResponse
startWorkspaceMeetSession	contracts/openapi/workspace/workspace-meet-v1.yaml	workspace-meet-api	crates/workspace-meet-api/src/lib.rs	start_workspace_meet_session_from_api	WorkspaceMeetSessionStartApiStatus	workspace.meet.session.start	crates/workspace-meet-api/tests/workspace_meet_api.rs	201=WorkspaceMeetSessionStartSuccessResponse;400=WorkspaceMeetApiErrorResponse;403=WorkspaceMeetApiErrorResponse;409=WorkspaceMeetApiErrorResponse;422=WorkspaceMeetApiErrorResponse
sendWorkspaceChatMessage	contracts/openapi/workspace/workspace-chat-v1.yaml	workspace-chat-api	crates/workspace-chat-api/src/lib.rs	send_workspace_chat_message_from_api	WorkspaceChatMessageSendApiStatus	workspace.chat.message.send	crates/workspace-chat-api/tests/workspace_chat_api.rs	201=WorkspaceChatMessageSendSuccessResponse;400=WorkspaceChatApiErrorResponse;403=WorkspaceChatApiErrorResponse;404=WorkspaceChatApiErrorResponse;409=WorkspaceChatApiErrorResponse;422=WorkspaceChatApiErrorResponse
ingestWorkspaceFormsSubmission	contracts/openapi/workspace/workspace-forms-v1.yaml	workspace-forms-api	crates/workspace-forms-api/src/lib.rs	ingest_workspace_forms_submission_from_api	WorkspaceFormsSubmissionIngestApiStatus	workspace.forms.submission.ingest	crates/workspace-forms-api/tests/workspace_forms_api.rs	202=WorkspaceFormsSubmissionIngestSuccessResponse;400=WorkspaceFormsApiErrorResponse;403=WorkspaceFormsApiErrorResponse;404=WorkspaceFormsApiErrorResponse;409=WorkspaceFormsApiErrorResponse;422=WorkspaceFormsApiErrorResponse
executeDsrCascade	contracts/openapi/platform/platform-dsr-v1.yaml	dsr-usecase	crates/dsr-usecase/src/lib.rs	execute_dsr_cascade_from_api	PlatformDsrCascadeExecuteApiStatus	dsr.cascade.execute	crates/dsr-usecase/tests/dsr_cascade_execute_api.rs	202=PlatformDsrCascadeExecuteSuccessResponse;400=PlatformDsrApiErrorResponse;403=PlatformDsrApiErrorResponse;409=PlatformDsrApiErrorResponse;422=PlatformDsrApiErrorResponse
publishFoundryPolicyAutonomyCeiling	contracts/openapi/foundry/policy-v1.yaml	intelligence-policy-api	intelligence/core/policy-api/src/lib.rs	publish_foundry_policy_autonomy_ceiling_from_api	FoundryPolicyAutonomyCeilingPublishApiStatus	foundry.policy.autonomy-ceiling.publish	intelligence/core/policy-api/tests/foundry_policy_api.rs	201=FoundryPolicyAutonomyCeilingPublishSuccessResponse;400=FoundryPolicyApiErrorResponse;403=FoundryPolicyApiErrorResponse;409=FoundryPolicyApiErrorResponse;422=FoundryPolicyApiErrorResponse
publishFoundryCapability	contracts/openapi/foundry/registry-v1.yaml	intelligence-registry-api	intelligence/core/registry-api/src/lib.rs	publish_foundry_capability_from_api	FoundryCapabilityPublishApiStatus	foundry.capability.publish	intelligence/core/registry-api/tests/foundry_capability_publish_api.rs	201=FoundryCapabilityPublishSuccessResponse;400=FoundryCapabilityPublishApiErrorResponse;401=FoundryCapabilityPublishApiErrorResponse;403=FoundryCapabilityPublishApiErrorResponse;409=FoundryCapabilityPublishApiErrorResponse;422=FoundryCapabilityPublishApiErrorResponse
retrieveFoundryRag	contracts/openapi/foundry/rag-v1.yaml	intelligence-rag-api	intelligence/core/rag-api/src/lib.rs	retrieve_foundry_rag_from_api	FoundryRagRetrieveApiStatus	foundry.rag.retrieve	intelligence/core/rag-api/tests/foundry_rag_retrieve_api.rs	200=FoundryRagRetrieveSuccessResponse;400=FoundryRagRetrieveApiErrorResponse;401=FoundryRagRetrieveApiErrorResponse;403=FoundryRagRetrieveApiErrorResponse;422=FoundryRagRetrieveApiErrorResponse
